,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,"4,530","4,106","3,129","1,616",851,"1,033",830,778,946,"1,380","3,238","5,469","27,906",Hungary,661,429,405,428,432,529,486,543,669,"1,140","1,977","2,775","10,474",Hungary,+585.33,+857.11,+672.59,+277.57,+96.99,+95.27,+70.78,+43.28,+41.41,21.05 ,63.78 ,97.08 ,166.43 
Kazakhstan,"26,656","23,019","21,328","9,230","6,927","6,408","6,662","6,403","5,956","10,837","21,842","27,221","172,489",Kazakhstan,"3,482","4,339","4,331","1,498","1,693","1,798","1,733","1,663","2,169","5,884","12,750","18,128","59,468",Kazakhstan,+665.54,+430.51,+392.45,+516.15,+309.16,+256.40,+284.42,+285.03,+174.60,84.18 ,71.31 ,50.16 ,190.05 
Kyrgyzstan,907,560,460,231,138,106,141,95,190,219,522,"1,157","4,726",Kyrgyzstan,46,48,38,37,34,55,63,48,46,122,248,523,"1,308",Kyrgyzstan,"+1,871.74","+1,066.67","+1,110.53",+524.32,+305.88,+92.73,+123.81,+97.92,+313.04,79.51 ,110.48 ,121.22 ,261.31 
Latvia,"1,413","1,180","1,048",483,344,245,209,254,400,644,"1,385","1,532","9,137",Latvia,310,428,362,267,133,120,127,161,207,464,"1,041","1,138","4,758",Latvia,+355.81,+175.70,+189.50,+80.90,+158.65,+104.17,+64.57,+57.76,+93.24,38.79 ,33.05 ,34.62 ,92.03 
Lithuania,"2,658","3,022","2,109","1,050",770,578,522,444,685,"1,426","2,397","3,014","18,675",Lithuania,768,798,730,464,362,364,279,337,469,941,"1,791","1,972","9,275",Lithuania,+246.09,+278.70,+188.90,+126.29,+112.71,+58.79,+87.10,+31.75,+46.06,51.54 ,33.84 ,52.84 ,101.35 
Poland," 16,129 "," 16,347 "," 12,648 "," 5,799 "," 4,469 "," 3,498 "," 3,595 "," 3,950 "," 5,152 "," 8,289 "," 21,995 "," 19,829 "," 121,700 ",Poland," 1,364 "," 1,522 "," 1,768 "," 1,941 "," 1,691 "," 2,304 "," 2,530 "," 3,200 "," 4,160 "," 5,938 "," 12,658 "," 10,393 "," 49,469 ",Poland,"+1,082.48",+974.05,+615.38,+198.76,+164.28,+51.82,+42.09,+23.44,+23.85,39.59 ,73.76 ,90.79 ,146.01 
Romania," 4,592 "," 4,739 "," 3,505 "," 2,256 "," 1,388 "," 1,104 "," 1,001 "," 1,238 "," 1,477 "," 2,945 "," 4,538 "," 7,367 "," 36,150 ",Romania, 646 , 609 , 617 , 961 , 443 , 463 , 455 , 596 , 687 ," 1,873 "," 3,037 "," 3,794 "," 14,181 ",Romania,+610.84,+678.16,+468.07,+134.76,+213.32,+138.44,+120.00,+107.72,+114.99,57.23 ,49.42 ,94.18 ,154.92 
Russian Federation," 202,759 "," 186,103 "," 177,805 "," 115,706 "," 58,467 "," 50,734 "," 64,937 "," 66,602 "," 68,660 "," 107,511 "," 177,517 "," 205,810 "," 1,482,611 ",Russian Federation," 23,669 "," 17,979 "," 9,132 "," 5,139 "," 7,006 "," 8,072 "," 6,705 "," 8,679 "," 15,182 "," 42,796 "," 106,676 "," 178,324 "," 429,359 ",Russian Federation,+756.64,+935.11,"+1,847.05","+2,151.53",+734.53,+528.52,+868.49,+667.39,+352.25,151.22 ,66.41 ,15.41 ,245.31 
Slovakia," 2,657 "," 3,212 "," 2,626 "," 1,624 ", 957 , 771 , 828 , 627 , 794 ," 1,174 "," 2,549 "," 3,484 "," 21,303 ",Slovakia, 412 , 500 , 523 , 605 , 327 , 373 , 629 , 548 , 672 , 845 ," 1,761 "," 2,249 "," 9,444 ",Slovakia,+544.90,+542.40,+402.10,+168.43,+192.66,+106.70,+31.64,+14.42,+18.15,38.93 ,44.75 ,54.91 ,125.57 
Ukraine," 4,652 "," 3,881 "," 3,505 "," 2,411 "," 2,133 "," 1,901 "," 2,024 "," 1,945 "," 2,031 "," 2,610 "," 3,673 "," 5,660 "," 36,426 ",Ukraine," 2,292 "," 1,877 ", 631 , 706 , 772 , 838 , 783 ," 1,131 "," 1,359 "," 1,892 "," 3,027 "," 3,997 "," 19,305 ",Ukraine,+102.97,+106.77,+455.47,+241.50,+176.30,+126.85,+158.49,+71.97,+49.45,37.95 ,21.34 ,41.61 ,88.69 
Uzbekistan," 4,940 "," 3,810 "," 3,315 "," 1,596 "," 1,460 "," 1,517 "," 1,715 "," 1,837 "," 1,720 "," 2,734 "," 3,621 "," 5,886 "," 34,151 ",Uzbekistan, 662 , 175 , 160 , 62 , 218 , 346 , 493 , 588 , 513 , 637 ," 1,838 "," 2,971 "," 8,663 ",Uzbekistan,+646.22,"+2,077.14","+1,971.88","+2,474.19",+569.72,+338.44,+247.87,+212.41,+235.28,329.20 ,97.01 ,98.12 ,294.22 
Southern/Medit. Europe," 69,937 "," 60,888 "," 56,959 "," 46,890 "," 33,060 "," 40,319 "," 59,678 "," 92,198 "," 59,969 "," 51,894 "," 65,587 "," 78,263 "," 715,642 ",Southern/Medit. Europe," 6,595 "," 9,343 "," 12,524 "," 17,763 "," 14,712 "," 18,100 "," 32,901 "," 56,263 "," 47,025 "," 44,255 "," 53,623 "," 60,758 "," 373,862 ",Southern/Medit. Europe,+960.45,+551.70,+354.80,+163.98,+124.71,+122.76,+81.39,+63.87,+27.53,17.26 ,22.31 ,28.81 ,91.42 
Croatia, 900 , 817 , 555 , 336 , 188 , 174 , 227 , 243 , 265 , 343 , 810 ," 1,512 "," 6,370 ",Croatia, 118 , 65 , 84 , 99 , 59 , 66 , 115 , 114 , 117 , 160 , 468 , 855 ," 2,320 ",Croatia,+662.71,"+1,156.92",+560.71,+239.39,+218.64,+163.64,+97.39,+113.16,+126.50,114.38 ,73.08 ,76.84 ,174.57 
Cyprus, 274 , 202 , 204 , 189 , 138 , 200 , 214 , 511 , 169 , 177 , 232 , 383 ," 2,893 ",Cyprus, 29 , 37 , 48 , 59 , 63 , 54 , 97 , 253 , 120 , 93 , 205 , 276 ," 1,334 ",Cyprus,+844.83,+445.95,+325.00,+220.34,+119.05,+270.37,+120.62,+101.98,+40.83,90.32 ,13.17 ,38.77 ,116.87 
Greece," 2,136 "," 1,733 "," 1,324 "," 1,177 ", 568 , 534 , 713 ," 1,537 ", 663 ," 1,061 "," 2,256 "," 2,860 "," 16,562 ",Greece, 199 , 204 , 221 , 305 , 341 , 331 , 355 , 906 , 499 , 748 ," 1,484 "," 1,553 "," 7,146 ",Greece,+973.37,+749.51,+499.10,+285.90,+66.57,+61.33,+100.85,+69.65,+32.87,41.84 ,52.02 ,84.16 ,131.77 
Israel," 24,321 "," 21,314 "," 22,697 "," 17,820 "," 11,191 "," 13,134 "," 21,651 "," 27,135 "," 26,968 "," 13,043 "," 6,962 "," 10,848 "," 217,084 ",Israel," 3,056 "," 4,636 "," 6,508 "," 9,772 "," 5,709 "," 6,271 "," 13,463 "," 17,061 "," 24,094 "," 18,289 "," 15,423 "," 20,825 "," 145,107 ",Israel,+695.84,+359.75,+248.76,+82.36,+96.02,+109.44,+60.82,+59.05,+11.93,(28.68),(54.86),(47.91),49.60 
Italy," 21,695 "," 17,808 "," 13,422 "," 10,329 "," 7,089 "," 8,055 "," 12,452 "," 29,929 "," 9,229 "," 10,724 "," 19,955 "," 31,296 "," 191,983 ",Italy," 1,340 "," 1,830 "," 2,166 "," 2,692 "," 2,847 "," 3,876 "," 5,886 "," 15,430 "," 7,076 "," 7,819 "," 12,876 "," 18,387 "," 82,225 ",Italy,"+1,519.03",+873.11,+519.67,+283.69,+149.00,+107.82,+111.55,+93.97,+30.43,37.15 ,54.98 ,70.21 ,133.48 
Portugal," 2,809 "," 3,043 "," 3,370 "," 3,775 "," 2,455 "," 2,273 "," 2,667 "," 3,358 "," 2,602 "," 3,603 "," 5,607 "," 5,539 "," 41,101 ",Portugal, 212 , 325 , 523 , 895 , 760 , 956 ," 1,145 "," 1,761 "," 1,587 "," 2,229 "," 3,632 "," 2,660 "," 16,685 ",Portugal,"+1,225.00",+836.31,+544.36,+321.79,+223.03,+137.76,+132.93,+90.69,+63.96,61.64 ,54.38 ,108.23 ,146.34 
Serbia," 1,324 "," 1,083 ", 761 , 452 , 189 , 192 , 318 , 282 , 330 , 309 , 772 ," 1,243 "," 7,255 ",Serbia, 176 , 147 , 84 , 105 , 50 , 64 , 115 , 142 , 148 , 227 , 395 , 597 ," 2,250 ",Serbia,+652.27,+636.73,+805.95,+330.48,+278.00,+200.00,+176.52,+98.59,+122.97,36.12 ,95.44 ,108.21 ,222.44 
Slovenia," 1,240 "," 1,236 ", 792 , 764 , 336 , 385 , 618 , 381 , 570 , 998 ," 1,006 "," 1,502 "," 9,828 ",Slovenia, 118 , 158 , 134 , 210 , 155 , 186 , 301 , 246 , 301 , 425 , 561 , 675 ," 3,470 ",Slovenia,+950.85,+682.28,+491.04,+263.81,+116.77,+106.99,+105.32,+54.88,+89.37,134.82 ,79.32 ,122.52 ,183.23 
Spain," 8,488 "," 8,182 "," 8,525 "," 7,620 "," 7,015 "," 9,917 "," 16,428 "," 24,643 "," 14,110 "," 15,691 "," 19,174 "," 13,665 "," 153,458 ",Spain, 772 ," 1,130 "," 1,678 "," 2,747 "," 3,123 "," 4,830 "," 9,789 "," 18,440 "," 10,348 "," 10,916 "," 12,672 "," 9,752 "," 86,197 ",Spain,+999.48,+624.07,+408.05,+177.39,+124.62,+105.32,+67.82,+33.64,+36.35,43.74 ,51.31 ,40.13 ,78.03 
Turkey," 6,750 "," 5,470 "," 5,309 "," 4,428 "," 3,891 "," 5,455 "," 4,390 "," 4,179 "," 5,063 "," 5,945 "," 8,813 "," 9,415 "," 69,108 ",Turkey, 575 , 811 ," 1,078 ", 879 ," 1,605 "," 1,466 "," 1,635 "," 1,910 "," 2,735 "," 3,349 "," 5,907 "," 5,178 "," 27,128 ",Turkey,"+1,073.91",+574.48,+392.49,+403.75,+142.43,+272.10,+168.50,+118.80,+85.12,77.52 ,49.20 ,81.83 ,154.75 
Other in Europe," 1,574 "," 1,479 "," 1,495 ", 990 , 635 , 667 , 655 , 798 , 734 , 957 ," 1,656 "," 2,563 "," 14,203 ",Other in Europe, 172 , 227 , 250 , 279 , 306 , 247 , 335 , 455 , 490 , 620 , 926 ," 1,434 "," 5,741 ",Other in Europe,+815.12,+551.54,+498.00,+254.84,+107.52,+170.04,+95.52,+75.38,+49.80,54.35 ,78.83 ,78.73 ,147.40 
America," 118,891 "," 117,838 "," 120,596 "," 100,424 "," 85,529 "," 94,143 "," 96,758 "," 74,573 "," 73,781 "," 97,572 "," 147,089 "," 160,267 "," 1,287,461 ",America," 8,437 "," 10,675 "," 18,214 "," 22,456 "," 30,828 "," 41,208 "," 52,652 "," 46,137 "," 49,722 "," 75,842 "," 106,637 "," 123,345 "," 586,153 ",America,"+1,309.16","+1,003.87",+562.11,+347.20,+177.44,+128.46,+83.77,+61.63,+48.39,28.65 ,37.93 ,29.93 ,119.65 
Canada," 23,744 "," 23,740 "," 22,786 "," 16,579 "," 13,969 "," 11,035 "," 13,023 "," 11,251 "," 10,700 "," 16,248 "," 23,831 "," 27,358 "," 214,264 ",Canada," 1,484 "," 1,747 "," 2,740 "," 3,246 "," 4,544 "," 4,522 "," 6,404 "," 6,137 "," 7,212 "," 11,826 "," 17,126 "," 20,844 "," 87,832 ",Canada,"+1,500.00","+1,258.90",+731.61,+410.75,+207.42,+144.03,+103.36,+83.33,+48.36,37.39 ,39.15 ,31.25 ,143.95 
Mexico," 1,616 "," 1,968 "," 2,671 "," 2,753 "," 2,235 "," 1,801 "," 2,224 "," 1,865 "," 3,183 "," 3,367 "," 5,158 "," 3,354 "," 32,195 ",Mexico, 36 , 59 , 149 , 399 , 406 , 585 ," 1,004 ", 907 ," 1,511 "," 2,260 "," 2,120 "," 1,865 "," 11,301 ",Mexico,"+4,388.89","+3,235.59","+1,692.62",+589.97,+450.49,+207.86,+121.51,+105.62,+110.66,48.98 ,143.30 ,79.84 ,184.89 
United State of America," 82,470 "," 81,946 "," 84,101 "," 72,139 "," 62,058 "," 75,623 "," 75,914 "," 55,960 "," 52,895 "," 68,563 "," 103,726 "," 114,811 "," 930,206 ",United State of America," 6,236 "," 7,833 "," 13,575 "," 16,486 "," 23,109 "," 33,113 "," 41,802 "," 35,336 "," 36,832 "," 54,701 "," 77,547 "," 90,839 "," 437,409 ",United State of America,"+1,222.48",+946.16,+519.53,+337.58,+168.54,+128.38,+81.60,+58.37,+43.61,25.34 ,33.76 ,26.39 ,112.66 
Argentina," 2,889 "," 2,248 "," 2,023 "," 1,513 "," 1,121 ", 876 , 791 , 759 , 955 ," 1,378 "," 1,894 "," 2,335 "," 18,782 ",Argentina, 124 , 208 , 313 , 449 , 511 , 496 , 482 , 541 , 601 ," 1,186 "," 1,433 "," 1,735 "," 8,079 ",Argentina,"+2,229.84",+980.77,+546.33,+236.97,+119.37,+76.61,+64.11,+40.30,+58.90,16.19 ,32.17 ,34.58 ,132.48 
Brazil," 5,186 "," 4,405 "," 5,048 "," 3,644 "," 2,966 "," 2,282 "," 2,197 "," 2,221 "," 2,800 "," 3,815 "," 7,393 "," 8,048 "," 50,005 ",Brazil, 319 , 521 , 900 ," 1,083 "," 1,284 "," 1,390 "," 1,556 "," 1,717 "," 1,856 "," 3,481 "," 5,399 "," 5,359 "," 24,865 ",Brazil,"+1,525.71",+745.49,+460.89,+236.47,+131.00,+64.17,+41.20,+29.35,+50.86,9.59 ,36.93 ,50.18 ,101.11 
Chile," 1,253 "," 1,654 "," 1,250 ", 984 , 910 , 843 , 763 , 739 , 948 ," 1,418 "," 1,493 "," 1,328 "," 13,583 ",Chile, 114 , 134 , 201 , 233 , 347 , 329 , 410 , 479 , 469 , 665 , 817 , 724 ," 4,922 ",Chile,+999.12,"+1,134.33",+521.89,+322.32,+162.25,+156.23,+86.10,+54.28,+102.13,113.23 ,82.74 ,83.43 ,175.97 
Colombia, 470 , 499 , 750 , 689 , 602 , 540 , 511 , 494 , 818 , 982 ," 1,320 "," 1,142 "," 8,817 ",Colombia, 42 , 52 , 88 , 200 , 201 , 279 , 348 , 348 , 349 , 601 , 732 , 650 ," 3,890 ",Colombia,"+1,019.05",+859.62,+752.27,+244.50,+199.50,+93.55,+46.84,+41.95,+134.38,63.39 ,80.33 ,75.69 ,126.66 
Peru, 458 , 435 , 509 , 515 , 504 , 413 , 486 , 438 , 563 , 673 , 819 , 584 ," 6,397 ",Peru, 25 , 50 , 79 , 122 , 179 , 202 , 233 , 241 , 337 , 358 , 499 , 421 ," 2,746 ",Peru,"+1,732.00",+770.00,+544.30,+322.13,+181.56,+104.46,+108.58,+81.74,+67.06,87.99 ,64.13 ,38.72 ,132.96 
Uruguay, 137 , 304 , 593 , 815 , 456 , 71 , 61 , 48 , 59 , 156 , 177 , 187 ," 3,064 ",Uruguay, 5 , 9 , 4 , 28 , 21 , 33 , 39 , 42 , 42 , 111 , 235 , 149 , 718 ,Uruguay,"+2,640.00","+3,277.78","+14,725.00","+2,810.71","+2,071.43",+115.15,+56.41,+14.29,+40.48,40.54 ,(24.68),25.50 ,326.74 
  Other in America, 668 , 639 , 865 , 793 , 708 , 659 , 788 , 798 , 860 , 972 ," 1,278 "," 1,120 "," 10,148 ",Other in America, 52 , 62 , 165 , 210 , 226 , 259 , 374 , 389 , 513 , 653 , 729 , 759 ," 4,391 ",Other in America,"+1,184.62",+930.65,+424.24,+277.62,+213.27,+154.44,+110.70,+105.14,+67.64,48.85 ,75.31 ,47.56 ,131.11 
Middle East," 30,556 "," 26,948 "," 19,574 "," 26,190 "," 42,384 "," 67,329 "," 111,855 "," 87,012 "," 50,436 "," 44,644 "," 45,710 "," 47,861 "," 600,499 ",Middle East," 1,366 "," 4,408 "," 8,734 "," 4,716 "," 32,019 "," 34,980 "," 51,467 "," 44,075 "," 30,901 "," 25,708 "," 32,215 "," 31,499 "," 302,088 ",Middle East,"+2,136.90",+511.34,+124.11,+455.34,+32.37,+92.48,+117.33,+97.42,+63.22,73.66 ,41.89 ,51.94 ,98.78 
Bahrain," 1,339 "," 1,019 ", 638 ," 1,160 "," 1,966 "," 3,468 "," 3,661 "," 4,278 "," 2,080 "," 2,474 "," 1,870 "," 2,118 "," 26,071 ",Bahrain, 75 , 128 , 272 , 220 , 943 ," 1,090 "," 1,431 "," 1,425 "," 1,160 "," 1,248 "," 1,187 "," 1,467 "," 10,646 ",Bahrain,"+1,685.33",+696.09,+134.56,+427.27,+108.48,+218.17,+155.84,+200.21,+79.31,98.24 ,57.54 ,44.38 ,144.89 
Egypt, 904 ," 1,238 ", 829 , 826 ," 1,163 "," 1,382 "," 1,138 "," 1,341 "," 1,332 "," 1,624 "," 1,411 "," 1,742 "," 14,930 ",Egypt, 40 , 150 , 340 , 245 ," 1,103 ", 951 ," 1,028 ", 761 ," 1,200 "," 1,320 "," 1,369 "," 1,166 "," 9,673 ",Egypt,"+2,160.00",+725.33,+143.82,+237.14,+5.44,+45.32,+10.70,+76.22,+11.00,23.03 ,3.07 ,49.40 ,54.35 
Iraq, 329 , 311 , 287 , 222 , 258 , 226 , 294 , 405 , 289 , 354 , 382 , 603 ," 3,960 ",Iraq, 44 , 94 , 80 , 75 , 147 , 205 , 147 , 192 , 246 , 218 , 261 , 323 ," 2,032 ",Iraq,+647.73,+230.85,+258.75,+196.00,+75.51,+10.24,+100.00,+110.94,+17.48,62.39 ,46.36 ,86.69 ,94.88 
Jordan, 665 , 663 , 586 , 653 , 804 ," 1,183 "," 1,373 "," 1,158 "," 1,124 "," 1,027 ", 764 ," 1,023 "," 11,023 ",Jordan, 95 , 115 , 208 , 181 , 500 , 446 , 596 , 578 , 622 , 688 , 757 , 780 ," 5,566 ",Jordan,+600.00,+476.52,+181.73,+260.77,+60.80,+165.25,+130.37,+100.35,+80.71,49.27 ,0.92 ,31.15 ,98.04 
Kuwait," 7,099 "," 4,586 "," 2,371 "," 3,341 "," 5,064 "," 8,243 "," 11,533 "," 17,304 "," 6,704 "," 4,561 "," 4,024 "," 4,425 "," 79,255 ",Kuwait, 415 ," 1,195 "," 1,325 ", 938 ," 3,296 "," 5,611 "," 5,918 "," 9,752 "," 5,723 "," 2,878 "," 3,649 "," 3,634 "," 44,334 ",Kuwait,"+1,610.60",+283.77,+78.94,+256.18,+53.64,+46.91,+94.88,+77.44,+17.14,58.48 ,10.28 ,21.77 ,78.77 
Lebanon, 169 , 265 , 256 , 294 , 253 , 305 , 332 , 297 , 198 , 266 , 314 , 668 ," 3,617 ",Lebanon, 13 , 30 , 67 , 150 , 110 , 92 , 156 , 108 , 121 , 161 , 312 , 342 ," 1,662 ",Lebanon,"+1,200.00",+783.33,+282.09,+96.00,+130.00,+231.52,+112.82,+175.00,+63.64,65.22 ,0.64 ,95.32 ,117.63 
Oman," 5,407 "," 4,672 "," 2,155 "," 2,531 "," 6,544 "," 7,539 "," 17,384 "," 12,966 "," 8,487 "," 6,897 "," 6,432 "," 5,474 "," 86,488 ",Oman, 126 , 527 , 690 , 302 ," 2,634 "," 4,015 "," 4,667 "," 5,552 "," 4,660 "," 3,529 "," 4,298 "," 4,204 "," 35,204 ",Oman,"+4,191.27",+786.53,+212.32,+738.08,+148.44,+87.77,+272.49,+133.54,+82.12,95.44 ,49.65 ,30.21 ,145.68 
Qatar," 2,404 "," 1,825 "," 2,135 "," 3,076 "," 2,153 "," 6,758 "," 9,335 "," 6,140 "," 2,248 "," 2,941 "," 1,355 "," 2,792 "," 43,162 ",Qatar, 97 , 529 ," 1,056 ", 387 ," 2,446 "," 4,301 "," 6,563 "," 1,741 "," 1,342 "," 1,019 "," 1,546 "," 2,063 "," 23,090 ",Qatar,"+2,378.35",+244.99,+102.18,+694.83,-11.98,+57.13,+42.24,+252.67,+67.51,188.62 ,(12.35),35.34 ,86.93 
Saudi Arabia," 7,462 "," 7,436 "," 6,555 "," 8,472 "," 13,431 "," 20,301 "," 33,633 "," 18,664 "," 15,382 "," 13,508 "," 21,089 "," 12,180 "," 178,113 ",Saudi Arabia, 79 , 532 ," 2,027 "," 1,386 "," 12,919 "," 11,756 "," 17,821 "," 12,781 "," 8,997 "," 7,778 "," 12,479 "," 7,603 "," 96,158 ",Saudi Arabia,"+9,345.57","+1,297.74",+223.38,+511.26,+3.96,+72.69,+88.73,+46.03,+70.97,73.67 ,69.00 ,60.20 ,85.23 
U.A.E.," 4,059 "," 4,235 "," 3,195 "," 4,869 "," 9,609 "," 16,059 "," 31,059 "," 22,800 "," 11,132 "," 9,729 "," 6,711 "," 15,477 "," 138,934 ",U.A.E., 306 , 991 ," 2,370 ", 710 ," 7,205 "," 5,581 "," 12,000 "," 10,228 "," 5,954 "," 6,020 "," 5,357 "," 9,040 "," 65,762 ",U.A.E.,"+1,226.47",+327.35,+34.81,+585.77,+33.37,+187.74,+158.83,+122.92,+86.97,61.61 ,25.28 ,71.21 ,111.27 
Yemen, 368 , 361 , 291 , 377 , 612 ," 1,066 "," 1,311 ", 988 , 814 , 757 , 806 , 709 ," 8,460 ",Yemen, 11 , 57 , 164 , 37 , 392 , 577 , 707 , 562 , 477 , 510 , 554 , 446 ," 4,494 ",Yemen,"+3,245.45",+533.33,+77.44,+918.92,+56.12,+84.75,+85.43,+75.80,+70.65,48.43 ,45.49 ,58.97 ,88.25 
 Other in Middle East, 351 , 337 , 276 , 369 , 527 , 799 , 802 , 671 , 646 , 506 , 552 , 650 ," 6,486 ",Other in Middle East, 65 , 60 , 135 , 85 , 324 , 355 , 433 , 395 , 399 , 339 , 446 , 431 ," 3,467 ",Other in Middle East,+440.00,+461.67,+104.44,+334.12,+62.65,+125.07,+85.22,+69.87,+61.90,49.26 ,23.77 ,50.81 ,87.08 
Africa," 8,100 "," 7,014 "," 8,647 "," 9,441 "," 8,778 "," 9,411 "," 10,332 "," 10,295 "," 10,620 "," 10,593 "," 10,149 "," 18,687 "," 122,067 ",Africa, 386 ," 1,160 "," 2,160 "," 2,660 "," 3,417 "," 4,328 "," 5,183 "," 6,246 "," 6,619 "," 7,676 "," 9,264 "," 14,504 "," 63,603 ",Africa,"+1,998.45",+504.66,+300.32,+254.92,+156.89,+117.44,+99.34,+64.83,+60.45,38.00 ,9.55 ,28.84 ,91.92 
Morocco, 514 , 618 , 360 , 372 , 700 , 579 , 903 ," 1,507 ", 899 , 679 , 758 ," 1,010 "," 8,899 ",Morocco, 54 , 110 , 123 , 78 , 318 , 284 , 403 , 811 , 474 , 500 , 586 , 565 ," 4,306 ",Morocco,+851.85,+461.82,+192.68,+376.92,+120.13,+103.87,+124.07,+85.82,+89.66,35.80 ,29.35 ,78.76 ,106.67 
South  Africa," 4,125 "," 2,892 "," 4,861 "," 5,265 "," 4,354 "," 5,247 "," 5,043 "," 3,492 "," 5,179 "," 5,296 "," 3,832 "," 10,694 "," 60,280 ",South  Africa, 153 , 515 ," 1,246 "," 1,786 "," 1,602 "," 2,399 "," 2,497 "," 2,160 "," 3,129 "," 4,100 "," 3,496 "," 9,130 "," 32,213 ",South  Africa,"+2,596.08",+461.55,+290.13,+194.79,+171.79,+118.72,+101.96,+61.67,+65.52,29.17 ,9.61 ,17.13 ,87.13 
Ethiopia, 787 , 785 , 827 , 887 ," 1,028 ", 866 ," 1,205 "," 1,289 "," 1,198 "," 1,444 "," 1,185 "," 1,344 "," 12,845 ",Ethiopia, 33 , 142 , 218 , 220 , 404 , 419 , 552 ," 1,051 ", 872 , 851 ," 1,017 ", 866 ," 6,645 ",Ethiopia,"+2,284.85",+452.82,+279.36,+303.18,+154.46,+106.68,+118.30,+22.65,+37.39,69.68 ,16.52 ,55.20 ,93.30 
Kenya, 198 , 284 , 256 , 408 , 362 , 246 , 327 , 541 , 270 , 395 , 367 , 805 ," 4,459 ",Kenya, 7 , 26 , 47 , 86 , 126 , 145 , 261 , 265 , 242 , 232 , 542 , 639 ," 2,618 ",Kenya,"+2,728.57",+992.31,+444.68,+374.42,+187.30,+69.66,+25.29,+104.15,+11.57,70.26 ,(32.29),25.98 ,70.32 
Mauritius, 765 , 772 , 903 ," 1,150 ", 654 , 748 , 688 , 972 ," 1,153 ", 794 ," 1,760 "," 1,740 "," 12,099 ",Mauritius, 5 , 23 , 46 , 91 , 128 , 175 , 412 , 591 , 484 , 600 ," 1,224 "," 1,248 "," 5,027 ",Mauritius,"+15,200.00","+3,256.52","+1,863.04","+1,163.74",+410.94,+327.43,+66.99,+64.47,+138.22,32.33 ,43.79 ,39.42 ,140.68 
 Other in Africa," 1,711 "," 1,663 "," 1,440 "," 1,359 "," 1,680 "," 1,725 "," 2,166 "," 2,494 "," 1,921 "," 1,985 "," 2,247 "," 3,094 "," 23,485 ",Other in Africa, 134 , 344 , 480 , 399 , 839 , 906 ," 1,058 "," 1,368 "," 1,418 "," 1,393 "," 2,399 "," 2,056 "," 12,794 ",Other in Africa,"+1,176.87",+383.43,+200.00,+240.60,+100.24,+90.40,+104.73,+82.31,+35.47,42.50 ,(6.34),50.49 ,83.56 
Grand Total," 2,144,948 "," 2,113,550 "," 2,269,733 "," 2,182,100 "," 2,013,852 "," 2,241,201 "," 2,490,643 "," 2,468,042 "," 2,130,596 "," 2,197,017 "," 2,637,077 "," 3,261,257 "," 28,150,016 ",Grand Total," 128,224 "," 151,794 "," 208,100 "," 287,511 "," 508,177 "," 768,970 "," 1,134,929 "," 1,188,218 "," 1,259,274 "," 1,467,365 "," 1,721,487 "," 2,241,177 "," 11,065,226 ",Grand Total,"+1,572.81","+1,292.38",+966.33,+658.96,+296.29,+191.45,+119.45,+107.71,+69.19,49.73 ,53.19 ,45.52 ,154.40 
หมายเหตุ 1) P หมายถึง ข้อมูลเบื้องต้น ที่อาจมีการปรับปรุงให้สมบูรณ์ขึ้นภายหลัง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    2) กองเศรษฐกิจการท่องเที่ยวและกีฬา ได้ปรับปรุงการจัดกลุ่มประเทศจำแนกตามภูมิภาค ให้สอดตล้องกับองค์การการท่องเที่ยวโลก (UNWTO) ตั้งแต่เดือนมกราคม 2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    3) เดือนมีนาคม 2566 มีการเพิ่มเติมจำนวนนักท่องเที่ยวที่เดินทางเข้าประเทศไทยโดยใช้บัตรผ่านแดน (Border Pass) เนื่องจากที่ผ่านมาในเดือนมีนาคม 2566 มีการปรับปรุงข้อมูล,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่มา: กองเศรษฐกิจการท่องเที่ยวและกีฬา (ณ วันที่ 19 มกราคม 2566P) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
